Model,MSE,MAE,RMSE,R2
Explainable Boosting Regressor,19175770.46326533,2391.524028703697,4379.014782261568,0.8729165244506053
CatBoost Regressor,19542909.971540354,2415.2891042882575,4420.736360782031,0.8704833828559838
XGBoost Regressor,19957855.54259256,2511.571856267654,4467.421576546427,0.8677334164108722
Random Forest Regressor,20445632.864503346,2573.349673150388,4521.684737407435,0.8645007725136504
Linear Regression,35117755.73613632,4243.654116653146,5926.023602394469,0.7672642952734356
