Model,Accuracy,Precision,Recall,F1,ROC_AUC,TN,FP,FN,TP
Random Forest,0.9043478260869565,0.8947368421052632,0.937007874015748,0.9153846153846154,0.944002752083174,89,14,8,119
CatBoost,0.9043478260869565,0.9133858267716536,0.9133858267716536,0.9133858267716536,0.9421298065897102,92,11,11,116
Support Vector Machine,0.9,0.8880597014925373,0.937007874015748,0.9118773946360154,0.9522972249827996,88,15,8,119
Explainable Boosting Machine,0.9,0.90625,0.9133858267716536,0.9098039215686274,0.9380016818286063,91,12,11,116
Logistic Regression,0.8826086956521739,0.8731343283582089,0.9212598425196851,0.896551724137931,0.9320388349514562,86,17,10,117
XGBoost,0.8869565217391304,0.9173553719008265,0.8740157480314961,0.8951612903225806,0.935173151899702,93,10,16,111
K-Nearest Neighbors,0.8739130434782608,0.8769230769230769,0.8976377952755905,0.8871595330739299,0.9333002064062381,87,16,13,114
Naive Bayes,0.8739130434782608,0.8769230769230769,0.8976377952755905,0.8871595330739299,0.9195780139133094,87,16,13,114
Decision Tree,0.8043478260869565,0.847457627118644,0.7874015748031497,0.8163265306122449,0.8063221466248758,85,18,27,100
