Model,Accuracy,Precision,Recall,F1,ROC_AUC,TN,FP,FN,TP
Explainable Boosting Machine,0.908695652173913,0.9140625,0.9212598425196851,0.9176470588235294,0.9407537650026756,92,11,10,117
Random Forest,0.9,0.8880597014925373,0.937007874015748,0.9118773946360154,0.9428178273832276,88,15,8,119
Support Vector Machine,0.8913043478260869,0.8923076923076924,0.9133858267716536,0.9027237354085603,0.9404479779833346,89,14,11,116
CatBoost,0.8913043478260869,0.9047619047619048,0.8976377952755905,0.9011857707509882,0.9409831052671814,91,12,13,114
Logistic Regression,0.8782608695652174,0.8721804511278195,0.9133858267716536,0.8923076923076924,0.9341028973320084,86,17,11,116
