iter	Logloss
0	0.6853804791
1	0.6770373761
2	0.6697771872
3	0.662011902
4	0.6550581721
5	0.6476478345
6	0.6403643116
7	0.6362456175
8	0.6298272406
9	0.623378238
10	0.6167440547
11	0.6103570646
12	0.6047233038
13	0.5980331633
14	0.5916384631
15	0.5868251383
16	0.580687144
17	0.5755929316
18	0.569085835
19	0.5635199451
20	0.5592385171
21	0.5541370294
22	0.5490211212
23	0.544672838
24	0.539544236
25	0.5355733182
26	0.5300596922
27	0.525799374
28	0.5210561746
29	0.5176939774
30	0.513018043
31	0.508377287
32	0.5034404033
33	0.4998566099
34	0.4946071991
35	0.4904045648
36	0.4860543285
37	0.4831507053
38	0.4787682683
39	0.4755002999
40	0.4716846538
41	0.4685076516
42	0.4650818223
43	0.4626171535
44	0.4590216955
45	0.4563679847
46	0.4529200515
47	0.4501705
48	0.4477172459
49	0.4443738731
50	0.4416181292
51	0.4387291094
52	0.4354733837
53	0.4320591231
54	0.4296600825
55	0.4284122652
56	0.4253501319
57	0.4227979768
58	0.420063183
59	0.4180287537
60	0.4153350424
61	0.4129739037
62	0.4103259083
63	0.4078863002
64	0.4054181387
65	0.403359897
66	0.4007584736
67	0.3994851462
68	0.3969369128
69	0.3949774808
70	0.3926425659
71	0.3899442911
72	0.3885227191
73	0.3878468657
74	0.3860966481
75	0.3854521939
76	0.3838007435
77	0.3813497993
78	0.3794224316
79	0.3778691299
80	0.3763781228
81	0.3748443825
82	0.3733177693
83	0.370950099
84	0.3691103456
85	0.3666082867
86	0.3650788163
87	0.3631073753
88	0.3614900198
89	0.3601616086
90	0.3578815129
91	0.3562924853
92	0.3548252053
93	0.3535026117
94	0.3518342894
95	0.3503070036
96	0.3488816078
97	0.3475264929
98	0.3460608588
99	0.3450037386
100	0.3440470936
101	0.3432995931
102	0.3417254331
103	0.3402221875
104	0.3385497487
105	0.3377563234
106	0.3363743104
107	0.3349274388
108	0.3337893867
109	0.3323285115
110	0.3311317755
111	0.3300612894
112	0.3284934836
113	0.3277551307
114	0.3265522857
115	0.3251653398
116	0.3241298781
117	0.3233313629
118	0.3222718288
119	0.3205674773
120	0.3199095471
121	0.3189308625
122	0.3183838728
123	0.3171803173
124	0.3162451269
125	0.3153706587
126	0.3140468798
127	0.313034679
128	0.312036701
129	0.310951157
130	0.3098605542
131	0.30897519
132	0.3081809773
133	0.3071637173
134	0.3059915752
135	0.3054241307
136	0.3043495584
137	0.3033181972
138	0.3023469956
139	0.3011919748
140	0.3001977245
141	0.2993706263
142	0.2985031091
143	0.2973973159
144	0.2966271819
145	0.2958927647
146	0.2949530851
147	0.2941802214
148	0.2933009496
149	0.292656684
150	0.2916146895
151	0.2905469007
152	0.2895112152
153	0.2887746686
154	0.2881230191
155	0.2874684593
156	0.2867255087
157	0.2857892498
158	0.2852920523
159	0.2850975617
160	0.2845287532
161	0.2838601035
162	0.2831687215
163	0.2822895534
164	0.2815060929
165	0.2811437194
166	0.2806927216
167	0.2799780949
168	0.2791982843
169	0.27851953
170	0.2781000415
171	0.2776870357
172	0.2770028338
173	0.2762019883
174	0.2755629946
175	0.2752227335
176	0.2745883433
177	0.2739177932
178	0.2731221939
179	0.2727832513
180	0.2723987414
181	0.2721197411
182	0.2714356328
183	0.2706277688
184	0.2695106529
185	0.2689840907
186	0.2684479161
187	0.2677993386
188	0.2668130512
189	0.2660984235
190	0.2653760936
191	0.2650761417
192	0.2646381973
193	0.2639799128
194	0.2634688242
195	0.2630195751
196	0.2625066522
197	0.2620130182
198	0.2614775287
199	0.2609456286
